Unnamed: 0,Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,TTQ,Month,Year,PxV,Day_Perc_Change,Trend,Rolling_14,ubollinger,dbollinger
28,2019-09-16,1807.84,1824.02,1825.69,1800.2,3.68M,3680000,9,2019,6652851200.0,-0.008071109160242562,No Change,1766.6607142857144,2241.410126530062,1291.911302041367
29,2019-09-13,1839.34,1842.01,1846.12,1835.17,1.97M,1970000,9,2019,3623499800.0,0.01742410832817054,No Change,1774.8692857142862,2249.6186979586337,1300.1198734699387
30,2019-09-12,1843.55,1837.63,1853.66,1834.28,2.82M,2820000,9,2019,5198811000.0,0.0022888644839997863,No Change,1784.1778571428574,2258.927269387205,1309.42844489851
31,2019-09-11,1822.99,1812.14,1833.42,1809.08,2.43M,2430000,9,2019,4429865700.0,-0.011152396192129266,No Change,1790.416428571429,2265.1658408157764,1315.6670163270815
32,2019-09-10,1820.55,1822.75,1825.81,1805.34,2.61M,2610000,9,2019,4751635500.0,-0.0013384604413628767,No Change,1796.4621428571431,2271.211555101491,1321.7127306127957
33,2019-09-09,1831.35,1841.0,1850.0,1824.61,3.00M,3000000,9,2019,5494050000.0,0.005932273214138473,No Change,1804.0264285714288,2278.7758408157765,1329.2770163270814
34,2019-09-06,1833.51,1838.22,1840.65,1826.4,2.50M,2500000,9,2019,4583775000.0,0.0011794577770498638,No Change,1810.717142857143,2285.4665551014905,1335.9677306127955
35,2019-09-05,1840.72,1821.95,1842.0,1815.58,3.33M,3330000,9,2019,6129597600.0,0.003932348337342129,No Change,1815.8878571428572,2290.637269387205,1341.1384448985098
36,2019-09-04,1800.62,1805.0,1807.63,1796.23,2.33M,2330000,9,2019,4195444600.0,-0.02178495371376421,No Change,1820.1028571428571,2294.8522693872046,1345.3534448985097
37,2019-09-03,1789.84,1770.0,1800.8,1768.0,3.55M,3550000,9,2019,6353932000.0,-0.00598682675967166,No Change,1820.4271428571428,2295.1765551014905,1345.6777306127954
38,2019-08-30,1776.29,1797.49,1799.74,1764.57,3.06M,3060000,8,2019,5435447400.0,-0.00757050909578505,No Change,1819.1507142857142,2293.9001265300617,1344.4013020413668
39,2019-08-29,1786.4,1783.0,1798.55,1777.25,3.02M,3020000,8,2019,5394928000.0,0.00569163818971008,No Change,1816.6435714285715,2291.392983672919,1341.894159184224
40,2019-08-28,1764.25,1755.0,1767.86,1744.05,2.42M,2420000,8,2019,4269485000.0,-0.012399238692342164,No Change,1812.8428571428574,2287.592269387205,1338.09344489851
41,2019-08-27,1761.83,1775.73,1779.4,1746.68,3.03M,3030000,8,2019,5338344900.0,-0.001371687685985612,No Change,1808.5057142857147,2283.255126530062,1333.7563020413672
42,2019-08-26,1768.87,1766.91,1770.0,1743.51,3.09M,3090000,8,2019,5465808300.0,0.003995845229108452,No Change,1805.7221428571431,2280.4715551014906,1330.9727306127957
43,2019-08-23,1749.62,1793.03,1804.9,1745.23,5.28M,5280000,8,2019,9237993600.0,-0.010882653897686057,No Change,1799.3135714285715,2274.062983672919,1324.564159184224
44,2019-08-22,1805.6,1828.0,1829.41,1800.1,2.66M,2660000,8,2019,4802896000.0,0.03199551902698872,No Change,1796.6028571428574,2271.352269387205,1321.85344489851
45,2019-08-21,1823.54,1819.39,1829.58,1815.0,2.04M,2040000,8,2019,3720021600.0,0.009935755427558757,No Change,1796.642142857143,2271.3915551014907,1321.8927306127955
46,2019-08-20,1801.38,1814.5,1816.82,1799.88,1.93M,1930000,8,2019,3476663400.0,-0.012152187503427279,No Change,1795.2728571428574,2270.022269387205,1320.52344489851
47,2019-08-19,1816.12,1818.08,1826.0,1812.61,2.82M,2820000,8,2019,5121458400.0,0.008182615550300198,No Change,1794.1850000000002,2268.9344122443476,1319.4355877556527
48,2019-08-16,1792.57,1792.89,1802.91,1784.55,3.05M,3050000,8,2019,5467338500.0,-0.01296720481025482,No Change,1791.2607142857146,2266.0101265300623,1316.5113020413671
49,2019-08-15,1776.12,1781.99,1788.0,1761.96,3.81M,3810000,8,2019,6767017200.0,-0.009176768550182124,No Change,1786.6464285714287,2261.3958408157764,1311.8970163270812
50,2019-08-14,1762.96,1793.01,1795.65,1757.21,4.89M,4890000,8,2019,8620874400.0,-0.007409409274148014,No Change,1783.956428571429,2258.7058408157764,1309.2070163270814
51,2019-08-13,1824.34,1783.0,1831.74,1780.0,4.08M,4080000,8,2019,7443307200.0,0.03481644506965553,No Change,1786.4207142857144,2261.170126530062,1311.671302041367
52,2019-08-12,1784.92,1795.99,1800.98,1777.0,2.91M,2910000,8,2019,5194117200.0,-0.021607814332854525,No Change,1787.0371428571432,2261.7865551014906,1312.2877306127957
53,2019-08-09,1807.58,1828.95,1831.09,1802.22,2.88M,2880000,8,2019,5205830400.0,0.012695246845797035,No Change,1788.5500000000004,2263.299412244348,1313.800587755653
54,2019-08-08,1832.89,1806.0,1834.26,1798.11,3.70M,3700000,8,2019,6781693000.0,0.014002146516336909,No Change,1793.4528571428575,2268.202269387205,1318.70344489851
55,2019-08-07,1793.4,1773.99,1798.93,1757.0,4.53M,4530000,8,2019,8124102000.0,-0.021545210023514727,No Change,1795.7078571428574,2270.457269387205,1320.95844489851
56,2019-08-06,1787.83,1792.23,1793.77,1753.4,5.07M,5070000,8,2019,9064298100.0,-0.0031058324969333033,No Change,1797.0621428571433,2271.8115551014907,1322.3127306127958
57,2019-08-05,1765.13,1770.22,1788.67,1748.78,6.06M,6060000,8,2019,10696687800.0,-0.012696956645765978,No Change,1798.1700000000005,2272.919412244348,1323.420587755653
58,2019-08-02,1823.24,1845.07,1846.36,1808.02,4.96M,4960000,8,2019,9043270400.0,0.03292108796519222,No Change,1799.4300000000007,2274.1794122443484,1324.6805877556533
59,2019-08-01,1855.32,1871.72,1897.92,1844.01,4.71M,4710000,8,2019,8738557200.0,0.017595050569316095,No Change,1801.7000000000007,2276.4494122443484,1326.9505877556533
60,2019-07-31,1866.78,1898.11,1899.55,1849.44,4.47M,4470000,7,2019,8344506600.0,0.00617683202897612,No Change,1806.371428571429,2281.120840815777,1331.6220163270816
61,2019-07-30,1898.53,1891.12,1909.89,1883.48,2.91M,2910000,7,2019,5524722300.0,0.017007895949174626,No Change,1812.2578571428578,2287.0072693872053,1337.5084448985103
62,2019-07-29,1912.45,1930.0,1932.23,1890.54,4.49M,4490000,7,2019,8586900500.0,0.007331988433156189,No Change,1820.820714285715,2295.5701265300627,1346.0713020413675
63,2019-07-26,1943.05,1942.0,1950.89,1924.51,4.93M,4930000,7,2019,9579236500.0,0.016000418311589826,No Change,1832.7442857142864,2307.493697958634,1357.994873469939
64,2019-07-25,1973.82,2001.0,2001.2,1972.72,4.14M,4139999,7,2019,8171612826.179998,0.015835928051259662,No Change,1847.8057142857149,2322.5551265300624,1373.0563020413674
65,2019-07-24,2000.81,1969.3,2001.3,1965.87,2.63M,2630000,7,2019,5262130300.0,0.01367399256264501,No Change,1860.4107142857151,2335.160126530063,1385.6613020413677
66,2019-07-23,1994.49,1995.99,1997.79,1973.13,2.70M,2700000,7,2019,5385123000.0,-0.003158720718109187,No Change,1875.380000000001,2350.1294122443487,1400.6305877556536
67,2019-07-22,1985.63,1971.14,1989.0,1958.26,2.91M,2910000,7,2019,5778183300.0,-0.004442238366700213,No Change,1888.0978571428584,2362.847269387206,1413.348444898511
68,2019-07-19,1964.52,1991.21,1996.0,1962.23,3.19M,3190000,7,2019,6266818800.0,-0.010631386512089391,No Change,1897.5000000000014,2372.249412244349,1422.750587755654
69,2019-07-18,1977.9,1980.01,1987.5,1951.55,3.50M,3500000,7,2019,6922650000.0,0.006810824018080863,No Change,1910.6785714285727,2385.42798367292,1435.9291591842252
70,2019-07-17,1992.03,2007.05,2012.0,1992.03,2.56M,2560000,7,2019,5099596800.0,0.007143940543000048,No Change,1925.264285714287,2400.0136979586346,1450.5148734699396
71,2019-07-16,2009.9,2010.58,2026.32,2001.22,2.62M,2620000,7,2019,5265938000.0,0.008970748432503672,No Change,1942.7478571428585,2417.497269387206,1467.998444898511
72,2019-07-15,2020.99,2021.4,2022.9,2001.55,2.98M,2980000,7,2019,6022550200.0,0.005517687447136543,No Change,1956.8728571428585,2431.622269387206,1482.123444898511
73,2019-07-12,2011.0,2008.27,2017.0,2003.87,2.51M,2510000,7,2019,5047610000.0,-0.004943121935289119,No Change,1967.9928571428586,2442.7422693872063,1493.2434448985111
74,2019-07-11,2001.07,2025.62,2035.8,1995.3,4.32M,4320000,7,2019,8644622400.0,-0.004937841869716575,No Change,1977.5850000000014,2452.334412244349,1502.835587755654
75,2019-07-10,2017.41,1996.51,2024.94,1995.4,4.93M,4930000,7,2019,9945831300.0,0.008165631387207828,No Change,1986.0764285714301,2460.8258408157776,1511.3270163270827
76,2019-07-09,1988.3,1947.8,1990.01,1943.47,4.35M,4350000,7,2019,8649105000.0,-0.014429392141409147,No Change,1991.4942857142871,2466.2436979586346,1516.7448734699396
77,2019-07-08,1952.32,1934.12,1956.0,1928.25,2.88M,2880000,7,2019,5622681600.0,-0.01809586078559577,No Change,1992.15642857143,2466.9058408157775,1517.4070163270826
78,2019-07-05,1942.91,1928.6,1945.9,1925.3,2.63M,2630000,7,2019,5109853300.0,-0.004819906572692934,No Change,1989.948571428573,2464.6979836729206,1515.1991591842254
79,2019-07-03,1939.0,1935.89,1941.59,1930.5,1.69M,1690000,7,2019,3276910000.0,-0.0020124452496513845,No Change,1985.5335714285727,2460.28298367292,1510.7841591842252
80,2019-07-02,1934.31,1919.38,1934.79,1906.63,2.65M,2650000,7,2019,5125921500.0,-0.0024187725631769075,No Change,1981.2350000000013,2455.9844122443487,1506.4855877556538
81,2019-07-01,1922.19,1922.98,1929.82,1914.66,3.20M,3200000,7,2019,6151008000.0,-0.0062658002078259676,No Change,1976.7035714285726,2451.4529836729203,1501.954159184225
82,2019-06-28,1893.63,1909.1,1912.94,1884.0,3.04M,3040000,6,2019,5756635200.0,-0.014858052533828547,No Change,1971.6400000000012,2446.389412244349,1496.8905877556538
83,2019-06-27,1904.28,1902.0,1911.24,1898.04,2.14M,2140000,6,2019,4075159200.0,0.005624118756039964,No Change,1966.3814285714295,2441.130840815777,1491.632016327082
84,2019-06-26,1897.83,1892.48,1903.8,1887.32,2.44M,2440000,6,2019,4630705200.0,-0.0033871069380553287,No Change,1959.6528571428582,2434.4022693872057,1484.9034448985108
85,2019-06-25,1878.27,1911.84,1916.38,1872.42,3.01M,3010000,6,2019,5653592700.0,-0.01030650795909005,No Change,1950.2507142857153,2425.000126530063,1475.5013020413678
86,2019-06-24,1913.9,1912.66,1916.86,1901.3,2.28M,2280000,6,2019,4363692000.0,0.018969583712671767,No Change,1942.6014285714296,2417.3508408157772,1467.852016327082
87,2019-06-21,1911.3,1916.1,1925.95,1907.58,3.93M,3930000,6,2019,7511409000.0,-0.001358482679345907,No Change,1935.480000000001,2410.2294122443486,1460.7305877556535
88,2019-06-20,1918.19,1933.33,1935.2,1905.8,3.22M,3220000,6,2019,6176571800.0,0.00360487626223005,No Change,1929.5600000000009,2404.3094122443486,1454.8105877556534
89,2019-06-19,1908.79,1907.84,1919.58,1892.47,2.90M,2900000,6,2019,5535491000.0,-0.00490045303124309,No Change,1921.8014285714294,2396.550840815777,1447.052016327082
90,2019-06-18,1901.37,1901.35,1921.67,1899.79,3.90M,3900000,6,2019,7415343000.0,-0.003887279375939801,No Change,1915.5921428571437,2390.3415551014914,1440.8427306127962
91,2019-06-17,1886.03,1876.5,1895.69,1875.45,2.63M,2630000,6,2019,4960258900.0,-0.008067866853900041,No Change,1910.8571428571436,2385.6065551014913,1436.107730612796
92,2019-06-14,1869.67,1864.0,1876.0,1859.0,2.85M,2850000,6,2019,5328559500.0,-0.008674305286766382,No Change,1905.6257142857153,2380.375126530063,1430.8763020413678
93,2019-06-13,1870.3,1866.72,1883.09,1862.22,2.80M,2800000,6,2019,5236840000.0,0.0003369578588734435,No Change,1900.7185714285722,2375.4679836729197,1425.9691591842247
94,2019-06-12,1855.32,1853.98,1865.0,1844.38,2.68M,2680000,6,2019,4972257600.0,-0.00800941025503932,No Change,1895.0764285714292,2369.8258408157767,1420.3270163270818
95,2019-06-11,1863.7,1883.25,1893.7,1858.0,4.04M,4040000,6,2019,7529348000.0,0.004516741047366546,No Change,1890.8985714285723,2365.64798367292,1416.1491591842248
96,2019-06-10,1860.63,1822.0,1884.87,1818.0,5.37M,5370000,6,2019,9991583100.0,-0.0016472608252400267,No Change,1888.5414285714294,2363.290840815777,1413.792016327082
97,2019-06-07,1804.03,1763.7,1806.25,1759.49,4.81M,4810000,6,2019,8677384300.0,-0.03041980404486655,No Change,1881.3807142857152,2356.1301265300626,1406.6313020413677
98,2019-06-06,1754.36,1737.71,1760.0,1726.13,3.69M,3690000,6,2019,6473588400.0,-0.027532801560949727,No Change,1871.1328571428583,2345.8822693872057,1396.3834448985108
99,2019-06-05,1738.5,1749.6,1752.0,1715.25,4.24M,4240000,6,2019,7371240000.0,-0.009040333796940137,No Change,1861.1492857142869,2335.8986979586343,1386.3998734699394
100,2019-06-04,1729.56,1699.24,1730.82,1680.89,5.68M,5680000,6,2019,9823900800.0,-0.0051423641069887616,No Change,1847.9821428571438,2322.7315551014913,1373.2327306127963
101,2019-06-03,1692.69,1760.01,1766.29,1672.0,9.10M,9100000,6,2019,15403479000.0,-0.0213175605356275,No Change,1832.3671428571438,2307.1165551014915,1357.6177306127963
102,2019-05-31,1775.07,1790.01,1795.59,1772.7,4.62M,4620000,5,2019,8200823400.0,0.048668096343689626,No Change,1822.1442857142868,2296.893697958634,1347.3948734699393
103,2019-05-30,1816.32,1825.49,1829.47,1807.83,3.15M,3150000,5,2019,5721408000.0,0.02323852017103545,No Change,1815.5392857142867,2290.288697958634,1340.7898734699393
104,2019-05-29,1819.19,1823.12,1830.0,1807.53,4.28M,4280000,5,2019,7786133200.0,0.0015801180408738789,No Change,1809.6692857142866,2284.4186979586343,1334.9198734699391
105,2019-05-28,1836.43,1832.75,1849.27,1827.35,3.20M,3200000,5,2019,5876576000.0,0.009476745144817222,No Change,1806.1264285714296,2280.8758408157773,1331.3770163270822
106,2019-05-24,1823.28,1835.89,1841.76,1817.85,3.37M,3370000,5,2019,6144453600.0,-0.007160632313782722,No Change,1802.812857142858,2277.5622693872056,1328.0634448985106
107,2019-05-23,1815.48,1836.59,1844.0,1804.2,4.42M,4420000,5,2019,8024421600.0,-0.004278004475450792,No Change,1798.8971428571438,2273.6465551014912,1324.1477306127963
108,2019-05-22,1859.68,1851.78,1871.48,1851.0,2.94M,2940000,5,2019,5467459200.0,0.024346178421133846,No Change,1799.2085714285724,2273.95798367292,1324.459159184225
109,2019-05-21,1857.52,1874.79,1879.0,1846.0,4.01M,4010000,5,2019,7448655200.0,-0.0011614901488428142,No Change,1798.7671428571437,2273.516555101491,1324.0177306127962
110,2019-05-20,1858.97,1852.69,1867.78,1835.54,3.80M,3800000,5,2019,7064086000.0,0.00078061070674873,No Change,1798.6485714285723,2273.39798367292,1323.8991591842248
111,2019-05-17,1869.0,1893.05,1910.53,1867.33,4.74M,4740000,5,2019,8859060000.0,0.0053954609272877105,No Change,1803.2892857142867,2278.038697958634,1328.5398734699393
112,2019-05-16,1907.57,1885.94,1917.51,1882.29,4.71M,4710000,5,2019,8984654700.0,0.02063670411985008,No Change,1814.2328571428582,2288.9822693872056,1339.4834448985107
113,2019-05-15,1871.15,1827.95,1874.43,1823.0,4.69M,4690000,5,2019,8775693500.0,-0.019092353098444592,No Change,1823.707857142858,2298.4572693872055,1348.9584448985106
114,2019-05-14,1840.12,1839.5,1852.44,1815.75,4.63M,4630000,5,2019,8519755599.999998,-0.016583384549608615,No Change,1831.605000000001,2306.3544122443486,1356.8555877556535
115,2019-05-13,1822.68,1836.56,1846.54,1818.0,5.78M,5780000,5,2019,10535090400.0,-0.009477642762428462,No Change,1840.890000000001,2315.6394122443485,1366.1405877556535
116,2019-05-10,1889.98,1898.0,1903.79,1856.0,5.72M,5720000,5,2019,10810685600.0,0.036923650887703774,No Change,1849.0978571428582,2323.847269387206,1374.3484448985107
117,2019-05-09,1899.87,1900.0,1909.4,1876.0,5.31M,5310000,5,2019,10088309700.0,0.005232859606979945,No Change,1855.065714285715,2329.8151265300626,1380.3163020413676
118,2019-05-08,1917.77,1918.87,1935.37,1910.0,4.08M,4080000,5,2019,7824501600.0,0.009421697274023977,No Change,1862.1071428571438,2336.8565551014913,1387.3577306127963
119,2019-05-07,1921.0,1939.99,1949.1,1903.38,5.90M,5900000,5,2019,11333900000.0,0.0016842478503678038,No Change,1868.1478571428581,2342.8972693872056,1393.3984448985107
120,2019-05-06,1950.55,1917.98,1959.0,1910.5,5.42M,5420000,5,2019,10571981000.0,0.015382613222280073,No Change,1877.2385714285724,2351.98798367292,1402.489159184225
121,2019-05-03,1962.46,1949.0,1964.4,1936.0,6.38M,6380000,5,2019,12520494800.0,0.006105970110994452,No Change,1887.737142857144,2362.4865551014914,1412.9877306127964
122,2019-05-02,1900.82,1913.33,1921.55,1881.87,3.96M,3960000,5,2019,7527247200.0,-0.0314095573922526,No Change,1890.6757142857152,2365.4251265300627,1415.9263020413678
123,2019-05-01,1911.52,1933.09,1943.64,1910.55,3.12M,3120000,5,2019,5963942400.0,0.005629149524941868,No Change,1894.5328571428581,2369.282269387206,1419.7834448985107
124,2019-04-30,1926.52,1930.1,1935.71,1906.95,3.51M,3510000,4,2019,6762085200.0,0.007847158282414002,No Change,1899.3578571428582,2374.1072693872056,1424.6084448985107
125,2019-04-29,1938.43,1949.0,1956.34,1934.09,4.02M,4019999,4,2019,7792486661.570002,0.006182131511741407,No Change,1904.3171428571438,2379.0665551014913,1429.5677306127964
126,2019-04-26,1950.63,1929.0,1951.0,1898.0,8.43M,8430000,4,2019,16443810900.0,0.006293753192016194,No Change,1907.3928571428582,2382.142269387206,1432.6434448985108
127,2019-04-25,1902.25,1917.0,1922.45,1900.31,6.10M,6100000,4,2019,11603725000.0,-0.024802243377780583,No Change,1909.6142857142866,2384.363697958634,1434.864873469939
128,2019-04-24,1901.75,1925.0,1929.69,1898.16,3.68M,3680000,4,2019,6998440000.0,-0.0002628466289920084,No Change,1914.0164285714295,2388.765840815777,1439.267016327082
129,2019-04-23,1923.77,1891.2,1929.26,1889.58,4.64M,4640000,4,2019,8926292800.0,0.011578808991718148,No Change,1921.237142857144,2395.9865551014914,1446.4877306127964
130,2019-04-22,1887.31,1855.4,1888.42,1845.64,3.37M,3370000,4,2019,6360234700.0,-0.01895236956600843,No Change,1921.0464285714297,2395.7958408157774,1446.2970163270822
131,2019-04-18,1861.69,1868.79,1870.82,1859.48,2.75M,2750000,4,2019,5119647500.0,-0.013574876411400316,No Change,1918.319285714287,2393.0686979586344,1443.5698734699395
132,2019-04-17,1864.82,1872.99,1876.47,1860.44,2.89M,2890000,4,2019,5389329800.0,0.001681268095117705,No Change,1914.5371428571439,2389.2865551014916,1439.7877306127964
133,2019-04-16,1863.04,1851.35,1869.77,1848.0,3.04M,3040000,4,2019,5663641600.0,-0.0009545157173346251,No Change,1910.397142857144,2385.1465551014917,1435.6477306127965
134,2019-04-15,1844.87,1842.0,1846.85,1818.9,3.72M,3720000,4,2019,6862916400.0,-0.009752877018206818,No Change,1902.8485714285725,2377.5979836729202,1428.099159184225
135,2019-04-12,1843.06,1848.4,1851.5,1841.3,3.11M,3110000,4,2019,5731916600.0,-0.0009810989392206038,No Change,1894.3200000000013,2369.0694122443488,1419.5705877556538
136,2019-04-11,1844.07,1848.7,1849.95,1840.31,2.65M,2650000,4,2019,4886785500.0,0.0005480016928369746,No Change,1890.2664285714297,2365.015840815777,1415.5170163270823
137,2019-04-10,1847.33,1841.0,1848.0,1828.81,2.96M,2960000,4,2019,5468096800.0,0.0017678287700575446,No Change,1885.68142857143,2360.4308408157776,1410.9320163270825
138,2019-04-09,1835.84,1845.49,1853.09,1831.78,3.71M,3710000,4,2019,6810966400.0,-0.006219787477061534,No Change,1879.2042857142872,2353.9536979586346,1404.4548734699397
139,2019-04-08,1849.86,1833.23,1850.2,1825.11,3.75M,3750000,4,2019,6936975000.0,0.007636831096391905,No Change,1872.8778571428586,2347.627269387206,1398.1284448985111
140,2019-04-05,1837.28,1829.0,1838.58,1825.19,3.64M,3640000,4,2019,6687699200.0,-0.006800514633539811,No Change,1864.7814285714298,2339.5308408157775,1390.0320163270824
141,2019-04-04,1818.86,1820.65,1828.75,1804.2,3.62M,3620000,4,2019,6584273200.0,-0.010025690150657574,No Change,1858.8250000000012,2333.574412244349,1384.0755877556537
142,2019-04-03,1820.7,1826.72,1830.0,1809.62,3.98M,3980000,4,2019,7246386000.0,0.0010116226647460813,No Change,1853.0357142857156,2327.7851265300633,1378.2863020413681
143,2019-04-02,1813.98,1811.02,1820.0,1805.12,3.45M,3450000,4,2019,6258231000.0,-0.003690888119953883,No Change,1845.1935714285726,2319.94298367292,1370.444159184225
144,2019-04-01,1814.19,1800.11,1815.67,1798.73,4.24M,4240000,4,2019,7692165600.0,0.00011576753878217438,No Change,1839.9707142857153,2314.7201265300628,1365.2213020413678
145,2019-03-29,1780.75,1786.58,1792.86,1776.63,3.32M,3320000,3,2019,5912090000.0,-0.018432468484557932,No Change,1834.1892857142868,2308.9386979586343,1359.4398734699394
146,2019-03-28,1773.42,1770.0,1777.93,1753.47,3.04M,3040000,3,2019,5391196800.0,-0.004116243155973587,No Change,1827.6607142857154,2302.410126530063,1352.911302041368
147,2019-03-27,1765.7,1784.13,1787.5,1745.68,4.32M,4320000,3,2019,7627824000.0,-0.004353170709702203,No Change,1820.707857142858,2295.4572693872055,1345.9584448985106
148,2019-03-26,1783.76,1793.0,1805.77,1773.36,4.87M,4870000,3,2019,8686911200.0,0.010228238092541142,No Change,1816.342857142858,2291.0922693872058,1341.5934448985106
149,2019-03-25,1774.26,1757.79,1782.68,1747.5,5.10M,5100000,3,2019,9048726000.0,-0.0053258285868054145,No Change,1811.4285714285722,2286.1779836729197,1336.6791591842248
150,2019-03-22,1764.77,1810.17,1818.98,1763.11,6.36M,6360000,3,2019,11223937200.0,-0.005348708757453857,No Change,1805.7642857142866,2280.513697958634,1331.0148734699392
151,2019-03-21,1819.26,1796.26,1823.75,1787.28,5.77M,5770000,3,2019,10497130200.0,0.03087654481887148,No Change,1803.7592857142865,2278.508697958634,1329.009873469939
152,2019-03-20,1797.27,1769.94,1799.5,1767.03,6.27M,6270000,3,2019,11268882900.0,-0.012087332211998314,No Change,1801.0042857142867,2275.7536979586343,1326.2548734699392
153,2019-03-19,1761.85,1753.51,1784.16,1753.51,6.36M,6360000,3,2019,11205366000.0,-0.019707667740517576,No Change,1794.7178571428578,2269.4672693872053,1319.9684448985104
154,2019-03-18,1742.15,1712.7,1750.0,1712.63,5.43M,5430000,3,2019,9459874500.0,-0.011181428611970246,No Change,1787.922857142858,2262.6722693872057,1313.1734448985105
155,2019-03-15,1712.36,1703.0,1718.8,1693.13,7.55M,7550000,3,2019,12928318000.0,-0.017099560887409382,No Change,1780.315714285715,2255.0651265300626,1305.5663020413676
156,2019-03-14,1686.22,1691.2,1702.0,1684.34,2.95M,2950000,3,2019,4974349000.0,-0.015265481557616312,No Change,1770.710000000001,2245.4594122443486,1295.9605877556535
