Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity
"Jul 19, 2018","1,812.97","1,829.46","1,841.00","1,811.27",4.68M
"Jul 18, 2018","1,842.92","1,848.00","1,858.88","1,831.27",4.86M
"Jul 17, 2018","1,843.93","1,811.56","1,851.69","1,797.38",5.68M
"Jul 16, 2018","1,822.49","1,821.95","1,841.95","1,814.45",5.47M
"Jul 13, 2018","1,813.03","1,803.93","1,815.30","1,795.22",4.39M
"Jul 12, 2018","1,796.62","1,764.51","1,798.00","1,762.18",4.53M
"Jul 11, 2018","1,755.00","1,737.99","1,756.96","1,734.00",3.21M
"Jul 10, 2018","1,743.07","1,738.53","1,750.00","1,731.00",3.00M
"Jul 09, 2018","1,739.02","1,724.05","1,739.56","1,716.23",3.01M
"Jul 06, 2018","1,710.63","1,696.00","1,715.27","1,691.67",2.65M
"Jul 05, 2018","1,699.73","1,705.38","1,710.69","1,682.15",2.98M
"Jul 03, 2018","1,693.96","1,723.96","1,725.00","1,692.48",2.18M
"Jul 02, 2018","1,713.78","1,682.70","1,713.89","1,678.06",3.19M
"Jun 29, 2018","1,699.80","1,717.00","1,723.41","1,694.32",4.54M
"Jun 28, 2018","1,701.45","1,672.54","1,705.50","1,661.17",4.53M
"Jun 27, 2018","1,660.51","1,708.11","1,711.95","1,660.00",4.87M
"Jun 26, 2018","1,691.09","1,672.37","1,701.57","1,663.34",4.39M
"Jun 25, 2018","1,663.15","1,702.51","1,705.00","1,646.31",7.51M
"Jun 22, 2018","1,715.67","1,742.62","1,743.00","1,711.90",4.08M
"Jun 21, 2018","1,730.22","1,760.00","1,763.10","1,717.56",4.94M
"Jun 20, 2018","1,750.08","1,742.50","1,762.93","1,741.36",4.33M
"Jun 19, 2018","1,734.78","1,709.04","1,736.11","1,700.39",4.29M
"Jun 18, 2018","1,723.79","1,706.26","1,726.74","1,702.56",3.11M
"Jun 15, 2018","1,715.97","1,714.00","1,720.87","1,708.52",4.78M
"Jun 14, 2018","1,723.86","1,713.48","1,724.80","1,708.87",3.17M
"Jun 13, 2018","1,704.86","1,702.81","1,713.75","1,700.12",3.33M
